,Make & Model,Price,Depreciation,Reg Date,Mileage,Vechical Type
1212,BMW 1 Series 116d,"$71,800.00","$11,660 /yr",12-Dec-2016,"76,000 km",Hatchback
1213,Honda Civic 1.6A VTi (New 5-yr COE),"$43,800.00","$8,760 /yr",26-Apr-2011,"80,024 km",Sedan
1218,Renault Fluence Diesel 1.5A dCi,"$47,800.00","$8,920 /yr",24-Mar-2016,"63,529 km",Sedan
1219,Honda Grace Hybrid 1.5A DX,"$63,800.00","$9,830 /yr",07-Jul-2017,"42,000 km",Sedan
1221,Renault Megane Sedan Diesel 1.5T dCi,"$59,000.00","$9,240 /yr",25-May-2017,"55,750 km",Sedan
1222,Honda Jazz 1.3A,"$63,400.00","$7,990 /yr",07-Nov-2018,"36,000 km",Hatchback
1223,Mercedes-Benz E-Class E63 S AMG 4MATIC,"$425,800.00","$41,180 /yr",08-Nov-2018,"26,000 km",Sports
1224,Honda Fit 1.3A G F-Package (OPC),"$54,800.00","$6,600 /yr",07-Jan-2019,"27,996 km",Hatchback
1225,Nissan Qashqai 1.2A DIG-T Premium,"$63,800.00","$10,270 /yr",28-Oct-2016,"137,000 km",SUV
1227,Mazda 6 2.0A Executive,"$71,800.00","$10,830 /yr",12-Oct-2016,"54,000 km",Luxury
1228,Honda CR-V 2.4A (COE till 03/2027),"$41,888.00","$7,020 /yr",18-Apr-2007,"108,000 km",SUV
1229,Kia Cerato 1.6A LX,"$66,800.00","$7,900 /yr",07-Jan-2019,"35,000 km",Sedan
1230,Honda Vezel 1.5A X Honda Sensing,"$59,888.00","$9,200 /yr",02-Feb-2017,"71,000 km",SUV
1231,Volvo V40 T2,"$82,800.00","$10,040 /yr",13-Apr-2018,"57,800 km",Hatchback
1234,Subaru Forester 2.0i-L Sunroof,"$82,800.00","$10,560 /yr",22-Jun-2018,"56,000 km",SUV
1236,BMW 5 Series 523i Sunroof,"$33,800.00",,30-May-2011,"177,084 km",Luxury
1237,Renault Grand Scenic Diesel 1.5A dCi Sunroof,"$43,500.00","$9,880 /yr",30-Oct-2014,"120,000 km",MPV
1238,Peugeot 308 SW 1.2A PureTech Allure,"$52,777.00","$9,310 /yr",21-Mar-2016,"65,000 km",Stationwagon
1239,MINI Cooper S Clubman 1.6A Bond Street,"$63,800.00","$16,110 /yr",24-Mar-2014,"66,379 km",Sports
1240,Infiniti Q50 2.0T,"$76,800.00","$11,320 /yr",12-Jul-2016,"100,000 km",Luxury
1241,Land Rover Range Rover Evoque Convertible 2.0A HSE Dynamic,"$158,800.00","$20,370 /yr",13-Dec-2016,"49,000 km",Sports
1242,Toyota Prius Alpha Hybrid 1.8A S,"$87,800.00","$10,530 /yr",26-Jun-2018,"25,153 km",MPV
1244,Hyundai Avante 1.6A Sunroof (COE till 03/2024),"$16,800.00","$5,800 /yr",06-Mar-2009,"140,000 km",Sedan
1245,Mercedes-Benz E-Class E250 (New 10-yr COE),"$89,800.00","$8,980 /yr",12-Aug-2011,"98,300 km",Luxury
1246,Audi A3 Sedan 1.0A TFSI S-tronic,"$84,800.00","$11,940 /yr",12-Sep-2017,"58,200 km",Luxury
1247,Kia Stonic 1.0T EX,"$74,988.00","$8,730 /yr",06-Jun-2019,"41,200 km",SUV
1250,BMW 3 Series 316i Sport,"$55,800.00","$15,200 /yr",13-Dec-2013,"42,000 km",Luxury
1251,Toyota Vios 1.5A E (COE till 08/2024),"$23,800.00","$7,130 /yr",13-Aug-2009,"158,000 km",Sedan
1252,Toyota Corolla Axio 1.5A X,"$43,000.00","$8,600 /yr",13-Oct-2015,"84,000 km",Sedan
1254,Honda Vezel Hybrid 1.5A X,"$90,800.00","$10,570 /yr",21-Dec-2018,"19,000 km",SUV
1256,Honda Fit 1.3A G (New 5-yr COE),"$42,850.00","$8,570 /yr",21-Apr-2011,"153,000 km",Hatchback
1257,BMW 5 Series 528i Sport Pro,"$109,800.00","$17,740 /yr",30-Oct-2015,"57,000 km",Luxury
1258,Mercedes-Benz C-Class C180 Avantgarde,"$99,800.00","$15,580 /yr",01-Jul-2016,"49,200 km",Luxury
1259,BMW 2 Series 218i Gran Tourer,"$76,700.00","$11,780 /yr",11-Oct-2016,"55,000 km",MPV
1260,BMW 3 Series 316i,"$62,888.00","$13,770 /yr",23-Dec-2014,"119,000 km",Luxury
1261,Hyundai Elantra 1.6A,"$21,800.00","$19,050 /yr",16-Jan-2012,"118,000 km",Sedan
1262,Honda Vezel 1.5A X Honda Sensing,"$61,800.00","$9,700 /yr",09-Dec-2016,"70,000 km",SUV
1263,Mercedes-Benz GLA-Class GLA180 Urban Edition,"$126,888.00","$13,310 /yr",13-Aug-2019,"20,000 km",SUV
1264,Toyota Sienta 1.5A X,"$59,888.00","$10,020 /yr",24-Oct-2016,"57,300 km",MPV
1265,Lexus ES250 Executive Sunroof,"$103,800.00","$15,750 /yr",07-Jul-2016,"69,209 km",Luxury
1266,Toyota Wish 1.8A (New 10-yr COE),"$69,800.00","$6,980 /yr",25-Nov-2011,"113,500 km",MPV
1267,Toyota Camry Hybrid 2.5A G,"$111,300.00","$11,680 /yr",16-Apr-2019,"29,900 km",Luxury
1268,Toyota Allion 1.5A (COE till 08/2023),"$18,300.00","$7,840 /yr",13-Aug-2008,"141,000 km",Sedan
1269,Mazda 3 HB 1.5A Sunroof,"$76,800.00","$8,910 /yr",28-Dec-2018,"28,800 km",Hatchback
1270,Peugeot RCZ 1.6A Turbo (New 5-yr COE),"$45,800.00","$9,150 /yr",09-May-2011,"142,000 km",Sports
1272,Volkswagen Passat 1.8A TSI Highline Sunroof,"$119,800.00","$11,320 /yr",13-Mar-2020,"2,600 km",Luxury
1273,Mercedes-Benz E-Class E200ML (COE till 05/2026),"$40,500.00","$7,880 /yr",23-Jun-2006,"122,000 km",Luxury
1274,Hyundai Elantra 1.6A GLS,"$45,800.00","$8,760 /yr",10-Oct-2015,"102,315 km",Sedan
1275,Peugeot 2008 Active Puretech 1.2A Sunroof,"$65,800.00","$8,740 /yr",12-Apr-2018,"42,000 km",SUV
1277,BMW 5 Series 523i (New 10-yr COE),"$85,000.00","$8,500 /yr",26-Sep-2011,"138,000 km",Luxury
1278,Mercedes-Benz B-Class B180,"$54,777.00","$12,330 /yr",12-Jan-2015,"97,000 km",Hatchback
1279,Toyota Vellfire 2.4A Z Golden Eyes,"$85,800.00","$17,130 /yr",09-Dec-2014,"72,000 km",MPV
1280,MINI Cooper S Countryman 2.0A,"$129,800.00","$16,110 /yr",01-Dec-2017,"67,000 km",Sports
1281,Maserati GranCabrio 4.7A (New 10-yr COE),"$178,800.00","$17,870 /yr",23-Feb-2012,"31,800 km",Sports
1282,Volkswagen Scirocco 1.4A TSI (New 10-yr COE),"$65,800.00","$6,580 /yr",16-May-2011,"102,000 km",Sports
1285,Mazda 3 1.5A Deluxe,"$74,800.00","$9,380 /yr",16-Apr-2018,"6,200 km",Sedan
1287,Toyota Hiace 2.8A DX,"$83,800.00","$8,410 /yr",30-Mar-2021,50 km,Van
1288,Honda Freed 1.5A G (COE till 09/2028),"$49,800.00","$6,670 /yr",30-Sep-2008,"140,000 km",MPV
1289,Audi A3 Sedan 1.0A TFSI S-tronic,"$83,999.00","$11,860 /yr",04-Sep-2017,"51,370 km",Luxury
1290,Peugeot 3008 Diesel 1.6A e-HDi ETG,"$48,800.00","$8,980 /yr",05-Feb-2016,"56,000 km",SUV
1291,BMW 5 Series 523i,"$29,000.00",,29-Apr-2011,"168,000 km",Luxury
1293,Nissan NV200 1.6A DX,"$47,800.00","$7,120 /yr",29-Dec-2017,"23,128 km",Van
1295,Mercedes-Benz E-Class E230 (COE till 01/2029),"$55,800.00","$7,140 /yr",24-Feb-2009,"145,000 km",Luxury
1296,Nissan Qashqai 1.2A DIG-T Premium,"$58,800.00","$10,430 /yr",31-Mar-2016,"99,000 km",SUV
1299,Hyundai Tucson 2.0A GLS Sunroof,"$68,800.00","$11,100 /yr",17-Jun-2016,"88,000 km",SUV
1300,Hyundai i30 Wagon 1.6A Sunroof (COE till 09/2024),"$24,800.00","$7,140 /yr",01-Oct-2009,"135,000 km",Stationwagon
1301,Audi A4 1.4A TFSI S-tronic,"$97,800.00","$13,820 /yr",19-May-2017,"23,000 km",Luxury
1302,Subaru XV 1.6i-S (OPC),"$53,800.00","$8,280 /yr",26-Sep-2016,"14,000 km",SUV
1303,Volkswagen Touran 1.4A TSI,"$26,500.00","$12,050 /yr",03-Aug-2012,"87,000 km",MPV
1305,Nissan Qashqai 1.2A DIG-T Premium,"$59,888.00","$10,240 /yr",17-Jun-2016,"45,381 km",SUV
1306,Hyundai Elantra 1.6A Elite (New 5-yr COE),"$49,800.00","$9,950 /yr",22-Jun-2011,"35,800 km",Sedan
1307,Renault Megane RS 1.8A TCe,"$128,800.00","$14,870 /yr",10-Oct-2018,"39,000 km",Sports
1308,Honda HR-V 1.5A DX,"$63,800.00","$9,870 /yr",22-Nov-2016,"65,000 km",SUV
1309,Honda Civic 1.6A VTi (COE till 11/2022),"$12,500.00","$7,890 /yr",12-Nov-2007,"149,000 km",Sedan
1310,Toyota Corolla Altis 1.6A (COE till 11/2029),"$47,800.00","$5,570 /yr",11-Nov-2009,"161,000 km",Sedan
1311,Kia Cerato Forte 1.6A EX (COE till 09/2024),"$21,800.00","$6,290 /yr",30-Sep-2009,"153,000 km",Sedan
1312,Nissan Cabstar (COE till 01/2026),"$33,800.00","$7,030 /yr",11-Mar-2011,"195,000 km",Truck
1313,Mercedes-Benz A-Class A180,"$54,800.00","$12,310 /yr",20-Jan-2015,"120,000 km",Hatchback
1314,Kia Cerato Forte 1.6A SX (COE till 02/2026),"$36,800.00","$7,580 /yr",17-Feb-2011,"110,000 km",Sedan
1315,Toyota C-HR Hybrid 1.8A S,"$91,888.00","$10,620 /yr",27-Dec-2018,"33,372 km",SUV
1316,Nissan NV200 1.5M,"$40,800.00","$9,180 /yr",22-Sep-2015,"87,075 km",Van
1319,Nissan NV200 1.5M,"$51,800.00","$8,150 /yr",19-Aug-2017,"61,000 km",Van
1320,Honda Jazz 1.3A L (New 5-yr COE),"$36,800.00","$7,360 /yr",26-May-2011,"98,000 km",Hatchback
1321,Honda Civic 1.6A VTi,"$83,888.00","$9,850 /yr",24-Sep-2018,"25,000 km",Sedan
1323,Nissan Qashqai 1.2A DIG-T,"$57,800.00","$9,770 /yr",30-Jun-2016,"69,000 km",SUV
1325,MINI Cooper Coupe 1.6A,"$35,800.00","$33,630 /yr",22-Dec-2011,"93,800 km",Sports
1327,Audi A6 1.8A TFSI Ultra S-tronic,"$99,800.00","$13,850 /yr",28-Nov-2016,"66,584 km",Luxury
1328,Mercedes-Benz GLC-Class GLC250 Coupe AMG Line 4MATIC,"$183,800.00","$20,700 /yr",02-Aug-2018,"58,000 km",SUV
1329,Toyota Vios 1.5A J (COE till 05/2022),"$8,900.00","$8,020 /yr",23-May-2007,"165,000 km",Sedan
1330,Honda Odyssey 2.4A Absolute Honda Sensing,"$83,800.00","$13,650 /yr",05-Feb-2016,"76,000 km",MPV
1331,Honda Vezel 1.5A X,"$51,800.00","$10,070 /yr",24-Dec-2015,"110,784 km",SUV
1332,Toyota Alphard 2.5A X,"$92,000.00","$15,890 /yr",22-Dec-2015,"76,000 km",MPV
1333,Volkswagen Tiguan 1.4A TSI BMT R-Line,"$86,800.00","$12,530 /yr",28-Dec-2016,"81,000 km",SUV
1335,Porsche Cayman 2.9A PDK (COE till 12/2029),"$155,800.00","$17,910 /yr",23-Dec-2009,"79,000 km",Sports
1337,Toyota Camry 2.5A,"$71,300.00","$10,650 /yr",03-Jun-2016,"75,793 km",Luxury
1339,Honda Vezel Hybrid 1.5A X Honda Sensing,"$73,888.00","$10,790 /yr",22-Nov-2017,"19,200 km",SUV
1341,Mitsubishi Fuso Canter FEB21,"$71,800.00","$10,450 /yr",23-Feb-2018,"65,000 km",Truck
1343,Opel Adam 1.4A,"$48,800.00","$7,400 /yr",31-May-2017,"45,000 km",Hatchback
1344,Toyota Picnic 2.0A (COE till 05/2028),"$47,600.00","$6,690 /yr",22-May-2008,"138,500 km",MPV
1345,Mercedes-Benz S-Class S400L AMG Line,"$193,888.00","$28,290 /yr",05-May-2015,"110,000 km",Luxury
1346,Bentley Continental GT 6.0A (New 10-yr COE),"$299,800.00","$29,960 /yr",03-Oct-2012,"49,866 km",Sports
1347,Mercedes-Benz C-Class C180 Avantgarde,"$101,300.00","$16,030 /yr",15-Jun-2016,"83,000 km",Luxury
1348,BMW 1 Series 116i Urban (New 10-yr COE),"$72,800.00","$7,280 /yr",18-Nov-2011,"85,000 km",Hatchback
1349,Mercedes-Benz C-Class C180 Coupe AMG Line (New 10-yr COE),"$86,800.00","$8,680 /yr",31-Jan-2012,"89,000 km",Sports
1350,Toyota C-HR Hybrid 1.8A S,"$93,888.00","$10,680 /yr",25-Jan-2019,"35,238 km",SUV
1351,Audi A3 Sedan 1.0A TFSI S-tronic,"$94,800.00","$10,670 /yr",29-Nov-2018,"53,000 km",Luxury
1352,Volkswagen Golf 1.4A TSI,"$22,800.00","$16,860 /yr",21-Dec-2011,"143,900 km",Hatchback
1358,Mazda 3 1.5A Sunroof,"$55,800.00","$8,820 /yr",19-Jan-2017,"53,305 km",Sedan
1359,Toyota Corolla Altis 1.6A Elegance,"$49,800.00","$12,370 /yr",02-Oct-2014,"46,000 km",Sedan
1360,Toyota Estima 2.4A Aeras Premium Moonroof,"$65,800.00","$14,390 /yr",22-Jul-2014,"96,000 km",MPV
1362,Mitsubishi Lancer EX 1.5A GLS Sports (COE till 03/2023),"$13,500.00","$6,910 /yr",27-Mar-2008,"113,672 km",Sedan
1363,Hyundai Avante 1.6A GLS S,"$73,800.00","$8,060 /yr",11-Jul-2019,"27,000 km",Sedan
1364,Mitsubishi Outlander 2.0A,"$106,888.00","$10,850 /yr",05-Mar-2020,"24,500 km",SUV
1365,Mercedes-Benz A-Class A180 Style,"$98,300.00","$12,740 /yr",25-Jan-2018,"62,000 km",Hatchback
1366,Honda Civic HB 1.5A VTEC Turbo Sport,"$98,800.00","$12,880 /yr",18-Aug-2017,"33,000 km",Hatchback
1367,Honda Civic 1.6A VTi-S,"$52,800.00","$9,900 /yr",23-Jul-2015,"106,000 km",Sedan
1368,Audi A5 Sportback 2.0A TFSI Quattro S-Line (New 10-yr COE),"$85,800.00","$8,580 /yr",07-Apr-2011,"93,000 km",Luxury
1369,Kia Cerato 1.6A SX Sunroof,"$75,888.00","$8,920 /yr",09-Oct-2018,"48,131 km",Sedan
1371,Volvo S90 T5 Momentum,"$145,800.00","$14,530 /yr",20-Sep-2019,"21,000 km",Luxury
1372,Honda Civic 1.6A VTi,"$69,800.00","$10,320 /yr",12-Jan-2017,"60,000 km",Sedan
1373,Toyota Wish 1.8A Elegance,"$56,888.00","$9,820 /yr",20-Jan-2016,"100,200 km",MPV
1375,Volkswagen Golf Cabriolet 1.4A TSI,"$32,800.00","$20,290 /yr",10-Jan-2012,"133,263 km",Sports
1376,Lexus ES Hybrid ES300h Sunroof,"$90,800.00","$15,270 /yr",30-Sep-2015,"62,000 km",Luxury
1377,Honda Shuttle 1.5A G,"$67,800.00","$9,880 /yr",27-Sep-2017,"46,000 km",Stationwagon
1378,Kia Niro Hybrid 1.6A GDi DCT Sunroof,"$75,988.00","$11,020 /yr",13-Dec-2017,"62,485 km",SUV
1379,Toyota Wish 1.8A X,"$63,500.00","$10,260 /yr",20-Jul-2016,"86,500 km",MPV
1380,Honda Vezel Hybrid 1.5A X,"$64,800.00","$10,700 /yr",06-Feb-2017,"56,000 km",SUV
1381,Toyota Wish 1.8A X (COE till 05/2029),"$53,800.00","$6,610 /yr",17-Aug-2009,"194,857 km",MPV
1383,Toyota Alphard 2.5A Elegance Sunroof,"$159,800.00","$18,290 /yr",21-May-2018,"70,000 km",MPV
1384,Nissan Urvan 3.0M (COE till 03/2026),"$29,800.00","$6,000 /yr",29-Apr-2011,"185,800 km",Van
1385,Mazda 2 HB 1.5A Standard,"$71,800.00","$8,040 /yr",23-Apr-2019,"16,000 km",Hatchback
1386,Audi A4 1.8A TFSI MU (New 10-yr COE),"$79,800.00","$7,980 /yr",24-Aug-2011,"140,000 km",Luxury
1387,Toyota C-HR Hybrid 1.8A G LED,"$73,800.00","$11,270 /yr",21-Jul-2017,"72,500 km",SUV
1388,Toyota Camry 2.0A (New 10-yr COE),"$69,800.00","$6,980 /yr",12-Jul-2011,"135,228 km",Luxury
1389,Mercedes-Benz B-Class B180 Style,"$64,800.00","$11,970 /yr",17-Sep-2015,"81,000 km",Hatchback
1390,Mercedes-Benz CLA-Class CLA180,"$92,888.00","$14,410 /yr",27-Oct-2016,"67,520 km",Luxury
1391,Lexus ES250 Executive Sunroof,"$111,800.00","$15,630 /yr",24-Jan-2017,"29,600 km",Luxury
1392,Mazda 5 2.0A Sunroof,"$72,800.00","$9,830 /yr",23-Oct-2017,"76,000 km",MPV
1394,Toyota Corolla Altis 1.6A Elegance,"$48,800.00","$11,230 /yr",29-Dec-2014,"116,000 km",Sedan
1395,Subaru Forester 2.0i-S EyeSight Sunroof,"$111,888.00","$12,140 /yr",30-Sep-2019,"23,000 km",SUV
1396,BMW X1 sDrive20i,"$97,800.00","$14,670 /yr",30-Aug-2016,"79,000 km",SUV
1397,Mitsubishi Attrage 1.2A,"$64,800.00","$7,330 /yr",10-Oct-2019,"11,000 km",Sedan
1398,Honda HR-V 1.5A DX,"$81,500.00","$9,500 /yr",22-Oct-2018,"50,000 km",SUV
1400,Nissan NV350 2.5A,"$50,888.00","$8,900 /yr",30-Dec-2016,"122,210 km",Van
1403,Toyota Harrier 2.4A G (COE till 01/2029),"$53,800.00","$6,890 /yr",19-Jun-2009,"137,000 km",SUV
1404,Renault Trafic 2.0A (New 5-yr COE),"$35,800.00","$7,160 /yr",23-Jun-2011,"83,701 km",Van
1406,Hyundai Venue 1.6A GLS,"$80,800.00","$8,210 /yr",12-Mar-2020,"16,000 km",SUV
1407,Lexus GS450h Hybrid Super Luxury (COE till 08/2030),"$80,500.00","$8,570 /yr",17-Sep-2010,"122,830 km",Luxury
1409,Mercedes-Benz A-Class A180 Style,"$116,800.00","$12,510 /yr",18-Jun-2019,"11,300 km",Hatchback
1410,Mazda 2 HB 1.5A Standard,"$71,800.00","$7,750 /yr",13-Aug-2019,"18,000 km",Hatchback
1411,Mitsubishi ASX 2.0A,"$60,700.00","$9,400 /yr",29-Sep-2016,"61,000 km",SUV
1412,Nissan Sylphy 1.6A Premium,"$47,800.00","$8,620 /yr",13-Nov-2015,"80,000 km",Sedan
1413,Honda Civic 1.6A VTi (COE till 04/2023),"$18,800.00","$9,170 /yr",21-May-2008,"122,423 km",Sedan
1414,Hyundai Elantra 1.6A GLS Elite,"$57,800.00","$8,620 /yr",14-Dec-2016,"82,819 km",Sedan
1416,BMW X3 sDrive20i xLine Sunroof,"$88,800.00","$17,000 /yr",09-Jan-2015,"112,589 km",SUV
1417,BMW 3 Series 316i Sport,"$59,800.00","$14,130 /yr",16-May-2014,"98,000 km",Luxury
1418,Suzuki Swift Hybrid 1.2A RS,"$79,800.00","$7,920 /yr",01-Oct-2020,"4,400 km",Hatchback
1419,Nissan Cabstar,"$32,800.00","$8,180 /yr",15-Apr-2015,"183,000 km",Truck
1420,Mazda 3 HB 1.5A Deluxe,"$45,800.00","$10,500 /yr",27-May-2015,"112,746 km",Hatchback
1422,Mercedes-Benz GLA-Class GLA180 Urban Edition,"$131,500.00","$12,710 /yr",15-Jul-2020,"8,100 km",SUV
1425,BMW 5 Series 540i M-Sport,"$199,888.00","$24,130 /yr",04-Sep-2017,"63,000 km",Luxury
1426,Mercedes-Benz B-Class B180,"$54,800.00","$12,820 /yr",04-Dec-2014,"102,000 km",Hatchback
1427,Honda Civic 1.6A VTi,"$89,800.00","$9,500 /yr",02-Sep-2019,"17,000 km",Sedan
1429,Mercedes-Benz C-Class C200 CDI,"$56,300.00","$15,140 /yr",05-Dec-2013,"83,170 km",Luxury
1430,Porsche Cayenne S Coupe 2.9A,"$439,888.00","$33,020 /yr",26-Mar-2021,88 km,SUV
1431,Honda Civic 1.5A VTEC Turbo Sunroof,"$90,800.00","$12,070 /yr",23-Oct-2017,"81,900 km",Sedan
1433,Mercedes-Benz E-Class E200 AMG Edition E Sunroof,"$123,800.00","$18,050 /yr",28-Apr-2016,"53,000 km",Luxury
1434,Mercedes-Benz E-Class E200 CGI AMG (COE till 03/2029),"$74,800.00","$9,380 /yr",27-May-2010,"108,000 km",Luxury
1435,Mercedes-Benz GLA-Class GLA200 AMG Line Premium Plus,"$129,800.00","$15,450 /yr",09-Apr-2018,"38,000 km",SUV
1436,Honda Civic 1.6A VTi,"$76,500.00","$10,200 /yr",25-Oct-2017,"45,000 km",Sedan
1437,Toyota Wish 1.8A Elegance,"$63,300.00","$10,370 /yr",03-Jun-2016,"89,987 km",MPV
1438,BMW 2 Series 216d Active Tourer,"$66,800.00","$11,650 /yr",23-Feb-2016,"75,000 km",Hatchback
1439,Mercedes-Benz C-Class C180 Avantgarde,"$113,800.00","$15,810 /yr",29-Mar-2017,"83,000 km",Luxury
1440,Honda Vezel 1.5A X,"$56,800.00","$10,400 /yr",30-Mar-2016,"54,188 km",SUV
1441,BMW X3 sDrive20i M-Sport Sunroof,"$119,800.00","$17,770 /yr",12-Oct-2016,"56,000 km",SUV
1442,Lexus NX Turbo NX200t Luxury Sunroof,"$94,800.00","$16,260 /yr",30-Apr-2015,"100,000 km",SUV
1443,Volvo S60 T5,"$57,500.00","$11,930 /yr",18-Mar-2015,"95,000 km",Luxury
1444,Hyundai Starex 2.5M CRDi,"$30,800.00","$10,200 /yr",19-Apr-2014,"128,250 km",Van
1445,Mercedes-Benz C-Class C180 CGI Coupe Avantgarde Sunroof,"$59,800.00","$16,930 /yr",04-Oct-2013,"69,000 km",Sports
1447,Mercedes-Benz C-Class C180 Avantgarde,"$117,800.00","$15,290 /yr",17-Jul-2017,"71,000 km",Luxury
1448,Audi A3 Sedan 1.0A TFSI S-tronic,"$84,500.00","$11,530 /yr",08-Dec-2017,"42,000 km",Luxury
1449,Volvo S60 T4 (New 10-yr COE),"$69,800.00","$6,980 /yr",10-Aug-2011,"124,000 km",Luxury
1451,BMW 5 Series 523i Highline,"$42,800.00",,27-Jun-2011,"160,000 km",Luxury
1452,Toyota Corolla Axio 1.5A X (COE till 04/2023),"$15,800.00","$7,860 /yr",17-Apr-2008,"161,747 km",Sedan
1453,Opel Astra 1.0A Turbo (OPC),"$48,800.00","$6,920 /yr",21-Dec-2017,"23,952 km",Hatchback
1458,Mercedes-Benz E-Class E200 Avantgarde,"$133,800.00","$17,950 /yr",25-Nov-2016,"70,000 km",Luxury
1459,Honda Vezel Hybrid 1.5A X,"$70,800.00","$10,420 /yr",01-Nov-2017,"47,881 km",SUV
1463,Porsche Cayenne Hybrid S 3.0A Tip (COE till 08/2030),"$155,000.00","$16,500 /yr",01-Jun-2011,"48,000 km",SUV
1465,Toyota Alphard 2.4A,"$43,800.00","$31,030 /yr",27-Dec-2011,"129,000 km",MPV
1466,Mercedes-Benz E-Class E200 Mild Hybrid AMG Line,"$211,988.00","$17,660 /yr",10-Apr-2021,18 km,Luxury
1467,Mercedes-Benz CLA-Class CLA180 Urban,"$112,800.00","$14,020 /yr",16-Mar-2018,"54,060 km",Luxury
1468,Toyota Rav4 2.0A Premium,"$88,800.00","$11,350 /yr",08-May-2017,"40,108 km",SUV
1469,Mercedes-Benz E-Class E200 Mild Hybrid Sport,"$209,988.00",,N.A.,50 km,Luxury
1470,Nissan Qashqai 1.2A DIG-T,"$53,800.00","$10,370 /yr",26-Oct-2015,"80,000 km",SUV
1476,Nissan X-Trail 2.0A Premium 7-Seater Sunroof,"$69,888.00","$11,650 /yr",08-Apr-2016,"54,769 km",SUV
1477,Nissan Qashqai 2.0A Premium Moonroof,"$68,800.00","$9,900 /yr",29-Mar-2017,"97,000 km",SUV
1478,Mitsubishi ASX 2.0A,"$67,800.00","$9,860 /yr",05-Apr-2017,"58,000 km",SUV
1479,Toyota Dyna 150 3.0M,"$49,800.00","$10,600 /yr",23-Dec-2015,"127,000 km",Truck
1480,Toyota Corolla Altis 1.6A,"$27,800.00","$13,080 /yr",02-Nov-2012,"100,000 km",Sedan
1482,Honda Civic Type R 2.0M VTEC Turbo GT,"$208,988.00","$17,840 /yr",09-Apr-2021,88 km,Sports
1483,Volkswagen Jetta Sport 1.4A TSI,"$33,500.00","$11,910 /yr",28-May-2013,"129,000 km",Sedan
1484,Kia Cerato Forte 1.6A EX (COE till 03/2026),"$33,000.00","$6,640 /yr",14-Jul-2011,"120,000 km",Sedan
1485,Volkswagen Golf 1.4A TSI Sunroof,"$59,800.00","$11,410 /yr",30-Nov-2015,"92,000 km",Hatchback
1486,BMW X1 sDrive18i xLine,"$117,800.00","$13,960 /yr",28-Mar-2018,"37,883 km",SUV
1488,BMW X1 sDrive18i M-Sport,"$129,800.00","$14,470 /yr",26-Sep-2018,"46,427 km",SUV
1489,Mazda 5 2.0A Sunroof,"$69,800.00","$10,130 /yr",13-Mar-2017,"108,753 km",MPV
1490,BMW X7 xDrive40i M-Sport 7-Seater,"$385,800.00","$35,350 /yr",18-Dec-2019,"21,450 km",SUV
1491,Renault Grand Scenic Diesel 1.5A dCi Sunroof,"$76,888.00","$11,080 /yr",29-Aug-2017,"29,009 km",MPV
1492,Honda HR-V 1.5A DX,"$61,888.00","$9,670 /yr",25-Oct-2016,"68,900 km",SUV
1493,Nissan Sylphy 1.6A Premium,"$51,888.00","$8,730 /yr",05-Apr-2016,"46,594 km",Sedan
1495,Honda Jazz 1.5A RS,"$63,888.00","$9,410 /yr",09-Jun-2017,"60,900 km",Hatchback
1496,Nissan Qashqai 2.0A Premium Moonroof,"$69,800.00","$9,720 /yr",17-Jun-2017,"72,000 km",SUV
1499,Jaguar XE 2.0A Prestige,"$105,800.00","$13,450 /yr",13-Jul-2017,"23,800 km",Luxury
1502,Audi A3 Sedan 1.0A TFSI S-tronic,"$81,800.00","$11,270 /yr",06-Nov-2017,"53,434 km",Luxury
1503,Honda Odyssey 2.4A Absolute,"$87,800.00","$12,280 /yr",05-Dec-2016,"72,607 km",MPV
1504,Mercedes-Benz GLA-Class GLA180 Urban Edition (OPC),"$119,800.00","$11,890 /yr",21-Jan-2020,"7,260 km",SUV
1507,Subaru Forester 2.0i-L Sunroof,"$79,888.00","$10,910 /yr",28-Dec-2017,"60,000 km",SUV
1508,BMW 3 Series 318i Luxury,"$111,800.00","$13,380 /yr",26-Feb-2018,"46,319 km",Luxury
1509,Hyundai Elantra 1.6A GLS,"$66,800.00","$8,070 /yr",15-Nov-2018,"32,315 km",Sedan
1510,Toyota Corolla Altis 1.6A Elegance,"$56,800.00","$10,610 /yr",16-Sep-2015,"91,700 km",Sedan
1512,BMW 7 Series 730Li Sunroof,"$136,650.00","$18,800 /yr",25-Jun-2015,"64,000 km",Luxury
1515,Mazda 6 2.0A Executive,"$97,800.00","$10,340 /yr",30-Jul-2019,"33,947 km",Luxury
1516,Toyota Vellfire 3.5A Z (COE till 09/2028),"$68,000.00","$9,100 /yr",05-Jan-2009,"88,000 km",MPV
1517,Toyota Estima 2.4A Aeras Premium Moonroof,"$65,800.00","$13,990 /yr",29-Aug-2014,"103,571 km",MPV
1518,Mercedes-Benz E-Class E250 CGI Coupe Sunroof (COE till 11/2029),"$83,800.00","$9,700 /yr",22-Jan-2010,"107,000 km",Sports
1522,Lexus RX270 Sport,"$65,000.00","$23,630 /yr",06-Dec-2012,"74,000 km",SUV
1523,BMW X1 sDrive18i Sunroof (COE till 05/2029),"$63,800.00","$7,840 /yr",18-Jun-2010,"130,000 km",SUV
1525,Honda Vezel Hybrid 1.5A X,"$85,800.00","$10,480 /yr",20-Jun-2018,"41,500 km",SUV
