,Make & Model,Price,Depreciation,Reg Date,Mileage,Vechical Type
64,Honda Vezel Hybrid 1.5A X,"$79,800.00","$10,200 /yr",25-Nov-2015,"92,000 km",MPV
67,Mitsubishi Attrage 1.2A,"$55,588.00","$7,060 /yr",10-Oct-2008,"3,000 km",Sports
69,Hyundai i30 1.6A Sunroof (COE till 04/2029),"$47,800.00","$5,930 /yr",05-Apr-2018,"40,600 km",Sedan
70,Subaru Impreza 4D 2.0i-S EyeSight,"$69,500.00","$8,920 /yr",02-Nov-2011,"153,000 km",MPV
71,Toyota Estima Hybrid 2.4A X (New 10-yr COE),"$78,800.00","$7,880 /yr",17-Dec-2007,"150,000 km",Sports
72,Mitsubishi Evolution 10 GSR (COE till 10/2027),"$105,000.00","$16,020 /yr",05-Feb-2021,11 km,SUV
74,Kia Cerato Forte 1.6A SX 5DR (New 5-yr COE),"$32,888.00","$6,570 /yr",04-Feb-2021,28 km,Sedan
75,Mercedes-Benz GLB-Class GLB200 AMG Line,"$177,800.00","$16,100 /yr",04-Feb-2021,28 km,SUV
76,Honda Vezel 1.5A X Honda Sensing,"$99,800.00","$9,620 /yr",21-Dec-2018,"56,000 km",SUV
77,Skoda Kodiaq 2.0A TSI,"$129,900.00","$14,380 /yr",30-Jan-2019,"21,291 km",Sedan
78,Honda Civic 1.5A VTEC Turbo Sunroof,"$107,288.00","$11,870 /yr",30-Nov-2016,"140,000 km",Hatchback
80,Nissan NV350 2.5M,"$56,800.00","$9,260 /yr",02-Feb-2012,"73,551 km",Luxury
81,Mercedes-Benz CLS-Class CLS350 (New 10-yr COE),"$119,499.00","$11,940 /yr",29-Aug-2011,"125,583 km",Luxury
82,Audi A4 1.8A TFSI MU (New 10-yr COE),"$75,998.00","$7,600 /yr",29-Nov-2010,"140,000 km",Luxury
83,BMW 3 Series 318i Sunroof (COE till 08/2030),"$63,000.00","$6,710 /yr",01-Apr-2016,"33,196 km",MPV
84,Toyota Alphard 2.5A Elegance Sunroof,"$130,000.00","$20,560 /yr",06-Aug-2019,"22,000 km",SUV
85,Honda Vezel Hybrid 1.5A X,"$90,000.00","$9,640 /yr",28-Jun-2011,"198,000 km",Sports
86,Subaru Impreza WRX-S 5D 2.5M (New 10-yr COE),"$80,000.00","$8,000 /yr",13-May-2009,"130,000 km",Sedan
87,Subaru Impreza 4D 1.5R (COE till 02/2024),"$20,800.00","$7,210 /yr",27-Aug-2008,"180,000 km",MPV
88,Toyota Vellfire 2.4A Z (COE till 08/2028),"$71,800.00","$9,730 /yr",09-Sep-2016,"72,000 km",SUV
89,Toyota Harrier 2.0A Elegance Panoramic,"$81,888.00","$12,340 /yr",12-Dec-2013,"80,000 km",SUV
